text,label
samhini ya baia kif nekteb cava kif nab3etnal9a barcha a8lat li i hâta elkave fi english te3aon i fi el ketiba ama kif nezreb nab3et yeban eli 8alet ok niota habit nektblak netlamo wa kol iom ektbo ila 3ala ajma3in nabdeo ahna ya baia taoa el jami3 yeoaslo ma3ana arjouk ya baia ne3aono 3ala wa marto wa kol 3ailto el 3ila esa8ira wa eli kifkom raho ebn ao bent el ahali wa el beldan wa ediar el kol ajma3ien ok ok ok 5alihom ye9olo kan yehebo ye9olo eli e ti ta3ml fi el buuzz ok ok ya baiota yehmikom waiakom ajma3in ashab al 5ir men el 9aleb wa enia à safia wa cjokran 3ala eli 3amltoh ajma3in ya taibin ajma3in ashab al karama wa acharaf wa el kol wahd ok fi asara wa adara ok ok ok rakom bal rana bi 9imtna fi el kaouen kolo wa el hamd ila alah sobhano na3am enhebkom ajma3in felah wa atcharf bikom linkom ahlo echaraf wa el karama chokran tahiati likom ajma3in et kalem ma3a ja3for 3ala fekret kol iom fared wa9at ned3o ila 3ala wa sami wa lina hadom ila hadom amin amin amin ajma3in kol el mo5lisin arjoukom 3ano bal ne3aono be3adna raho chai maho sa3ieb biedn alah wa aniat à safia wa alah ya3lem chokran arjoukom la ma3adech et hoto beka 3ala 3ala la el 3akes dahkom farhdoh hâta men ba3id ahsen daoa ma3a tab3an adaoa enas takoun mertaha kol chai moken biedn alah wa sada9a eniat wa hada maojoed na3am chokran,2
kol 3am w inti 7ay b 5ir ya m3aalem,1
salim ben hamidane,0
choft kolchay 3la 3ayn lmakan ana lyoum mais man9oul kan 7asbi alah wane3ma lwakil,1
kais kais kais said said said,1
rip rap,2
bedou yahelmou hh diwiwo taw yintak bouk yabta barcha kaloulek raja3 liflous ili sarikteha wa nithasbou kabel,2
machalah alik,1
alah yhdi el7koma,1
alah yarahme chouhada,1
dsl mé zla3tha b hal mandher li m3ak c vraiment honteux w chkounou howa hedha,2
chou le3sel hedheye meche alah 3lik e rou7y me7lek,1
tchid el3asba,2
eslim ye daolaa,1
allah ya3tek saha a waldi 3alae 3la had hisa rak tla9i nas fasolh yahfadlek fi mizan l hasanet,1
mabrouk yoyo bahri challah bel hne,1
brabi chkouno weld l9ahba eli 3tak lfekra hadi lezem wehed maka lmkach5ine eli m3ak fel burou,2
hh belahi rana taknagna fi ha liblad élk,2
sfieh ou kadebe monafi9,2
aamlouha mihrath allah yerhamha,2
5oudhha men yed chab3ene idha je3 w mete5ouch men yed ji3ane idha chbe3,2
wach ada as7aybi waacha ada aa vive bladna 7oorma wnif wmin tebessa egx ,2
bravoo je confirm,1
7aja behia enek tkoun contre nidaa el tajamo3 mais zeda ettatbil barcha i5ali nes o5ra tfed men 7ezbek,2
eli ychouf fihom zouz frèret ydez like,0
brabi eli 9al9itou kilmit séfra y3adiha bcharba mé haw 9al mich ya7mihom ra8im eli ena mit2akda eli fama ma3na e5or lil kilma héthi 3la 5atir lou8itna 3arabya fiha barcha ma3ani w si moncef mayo8lotch 8alta ya3raf rou7ou mich yét7assib 3liha,2
hya el malahy el lailia,2
c est la tunisie ou les maldives,1
wahrani slouma,1
bara haa slim bara,2
chapeau bas slouma bravo,1
ili fih el khir rabi essahel fih,1
hamdelileh il jam3ia rebhet lyoum ya si slim inchala mabrouk 3lina ya rabi ca,1
mahlak mwf9a hlouma,1
slm brabi kifeh enajmo enbadlo meken alinti5ab,0
mayhimekech fahom ya slim ahna im3ak yelzim ta3ref illi fama alaf ilmouhibine ma3anedhomech face book w internet w houma im3ak w yesstanou fi najahatek im3a le club,1
nestanew le 1er novembre,1
president de tunisia,1
ehki besmk matahkich besm echa3b y3aycheek,2
rajel ou nos rabi ykoun maak,1
sayeb 3lik men siyassa essa3a a3mel resulat fi club mazel barcha 5edma joumhour elfoot mouch houa jomhour siyassa club fiha kol chey men salafuin extreme gauche fok 3lik men siyassa,2
dar echar ta3ti kesra,2
chrahoum b 3alouch mssaken les gens y moutou 3assdka,2
akbar jam3iyya fil afrique wil 3alam el 3arabi el,1
sayb zboubna ye khra,2
étha ken yest7a9ou ok mais 7awel tchouf problème chnou belekchi madhloumin,2
hh leflous lkol chrit bihom kalb hab hab hab hab,2
borjouliya kan bech ychedha slim hadhi leblad w 3ala denya salem nwaliw nraj3ou ben 3li w jma3te ahsan,2
e9tirah hamouda hamouda 10dinars ena m3ah,1
ghy b chwya 8ta tayretii lkhimaar,2
rabbi yahdi w nawar lha9 w rabi wa7dou elli ya3fou 3la 3bedou,2
merci bcp sluma,1
tmout abche3 ilmoutet,2
slim ryehi akber sare9 w mafyouzi w ya7ki 3la zwawla,2
mala ouken tchouf ra5met sad9ouni la 3ad yab9a 7ad 3ayach 8ir chababna a7na ahna mazel 8afel w ana metakda ankom mata3rfouhch leblasa rani mansien ta3arou ma3anna chi,2
saidi erais plz 3awen tawfik el7ichri,0
sayb alikk chouf projet invsti fih am la poltic sa3ibaa 3lik mech problm flous raw merci,2
anta how erajel,1
look 3rft why dima n9lk i don t like her,2
3andek el hak ya mryem,1
hh miboun,2
fhemtou tawa y a aabakira,2
saybha lfri9i hez flousk ou eb3dna,2
echéb yrid errye7i m en jedid,1
chbik ched el flous bel imin mela,2
tozz fi ta7ana ma 3andhom fin youslou 9a3dou ken ynabrou 3lik w 3la ca,2
bravo ya si sloim,1
ma3ak slim riahi,1
ana man marocco o nahbk o namot 3alk,1
fehemni ech yek,2
vroom vroom,1
abonné vous slvp,0
5ol 3m w inta b5ir 5ol 3m w inta 7ob w 3iedilna ala ci monji,1
ma feha bess ki t7ot source mta3 l musique,2
brabbi 7keyet samba sow cha3malna feha errajil yetrena fil equipe mte3ou et merci,1
a3mil ili trah sala7 bravoo kamil i5dim salam,1
mala begi,1
fi9 y a cha3eb lebled melli chadha beji l da5let fi 7ite 7atta lemtare 9asset,2
borjoliya m3alem yeser,1
slouma kol chay ken montssar,1
nice video keep going bro,1
fake rapper,2
ahsin ikhtiyar merci slouma rabi yewafi9na,1
kol 3am wenti 7ay be5ir ya king,1
m6 i love you djabou,1
l abdi normal 5ali ye5thouh walh 7kayto fergha ama nefzi mayelzemhach te5tho a7na mest7a9ino barcha benesba liya ba3d hocine ragued howa theni aham joueur najmo njibouh nefzi kan te5tho est bel7a9 wa9tha netsamo klina kaf 9wiy,2
c est la veritè,1
wa7da ibwa7da ok,1
t7b t3ich far7an 7b ca w a3che9 cha3bha b 9odrt rabi waldik yarthou 3lik,1
bravo si slim ekdem 3ala rohek ou jomhour m3ak,1
3asslama si slim tbarkellah 3lik matfoutekchi hta haja ella w twadhe7ha w ta7ki 3liha khater hal ayemtna hadhi kotheret fiha akhebar 4alta siwa min e3lem wla 3al facebook 7assilo rabi m3ak w ca be7awlel allah mansoura,1
ye5i fesh yahki heza w mnin tounsi el miboun heza ma3adesh fahmin 3likom fesh tahkiw,2
hay lah9i9a nhezou el al9ab bdhre3na ya basas sehli jabri,2
bourjouya klem ma39oul mais chwya kabes bahin zeda,1
chkoun mazel iyesma fiha 18,1
rabiye ynik lkoll n wiouuii,1
akbar ta7an fi tounis,2
3alih barnmaj yekechfi fi koli chayi,2
ti yezi bech basé w kedeb 5eritou fih rakoum,2
oussama ben fraj chbiik tla3tt mnayekk fi mo5ekk barra a3tiih termtekk el haddedii li chadiitou ma sayebtouu fiih tha7aktou 3linaa 5al9 rabii kan ja ja ma jech rabii y3inou,2
ken jew le9rouda 2thoukom chedin lebled rana b 5ir,1
blh arja3 habit kol youm,1
allah ma3k,1
8ati rou7ek belgda ya si slim,1
sallalahou alaihi wessalem sallalahou alaihi wessalem sallahou alaihi wessalem,1
ahna maak si slim c a amana indik bravo,1
hay errejel ili tekhdem w todkhel el kloub mch masrahia kemlet bel bous a jbin rabi maak ya tunis w ostorna,1
alhe yarhmou,1
bonne chance jam3iya,1
j adore sanfara déjà ena téléchargétte 8nek elkol,1
rached hanbli klem maakoul win elli yefhem,0
sebsi wi nahdha kif kif,2
a la debagh c ancien,2
l caché maktoub fih baladiat setif,0
ma7lah bent tounes el beya,1
eli ja min 3ind salem mr ya3melli abonnés,0
 1 bech ta5ralou fih 5tr meme pas mhabat wejhek,2
ena weld l etoile ema besm el ensenia netmannelou echifa al3ejel wenchallah yarja3 ykawar le plus vite possible,1
3idak mabrouk monsieur le prèsident we kol 3am we inta 7ay b 5ir,1
inchallah ykoun jomhour ca rajel w fi mosstawa w ye9ef m3a raissou,1
tha9afa jdida ismha slim riahi,1
lé7achti bel 9asida lé bel9ouroun el wosta le club ya si slim forca ca,1
mabrouuk hbiba,1
alf mabrouk you deserve it,1
i like you france and tunisien,1
yeeser feriina e3,1
ama ilmarzougi wila lee wila bay milclub ca takrah rcd ook,2
 mabrouuk w allah yahfdo,1
brabi juste fahamna 3aléch nahit montassar louhichi tawa y3ani tifhim fil koura inti haka wili bich itjibou khir minou ghriba wallah,2
rabi yfadlek ye ja3fer we ybareklek fi sa7tek we fi weldik we s8iratek sadakni nhebouk barcha,1
bon mouzica hlowwa clip tayyara el klem mouch laka el koll sinon bon travail,1
alelkom 3sba 3la gloubkom ken sex w l9o7b w kachfen l7al tfwh,2
had najah bayna khalat wa l3ilmo lilahh,1
amani salhi dandouka ma9houra mdrr,2
taraji loula ba3d entouma,1
walhi lmout 5sara fikom,2
9oul lomek tji techri ya sami ellouze haw dhaher fik inti w elouz mta3 etassisi fasila wa7da jerdhen,2
me3lem bravoo,1
liltek zina,1
bnasba lya na nnta5ab kan ro7i,1
al kileb ta3wi w al 9afila tasire msg il kol dandouk,2
bilahi chabab thaoira batal nas tharba sna kraya oi batala oina nitchraf ini oihid manhom hata dinar kasohom zid 3ina 3amin nistano bache ni5dmo mafamche 5dam oi homa ykolona bache n3aoitho limasajin bilhi ama bache nahbil oi barcha chabab mohbat 5admona raho tach5il istihkak,2
slouma merci et bravoo w ca,1
5ouya jenjoon 9a3ed te5dem f 5edma kas7a sne 3andek kamel bl gar7a hedhi bon chance sahbii,1
laa familia hh hermes fait partie de la famille ye3ni tfachfiich w 9ellet riich hh,2
rabbi m3ak we 5alli7om yamkourouna makkran wallaho 5ayro almakirine,1
bilel chimda5el zok omok fil page hèdhi bellehy 7awlou ta5rawlou fyh,2
ma7lhom lobna w oumayma,1
mayanta9dak ken li y7ibbak wiljam3ia 5ouya rahi rakkabtilna ghoussa rana lamradh lkoll rekbitna nab9ouch koll marra wa9fiin 3al atlal ljam3ia li t7ib thiz titre rahi b joumhour walla min ghir lazem tirba7 surtout les simple partie rana faddiina min liklam lazem lfi3l tawwa lazem titre sna viva ca,2
akid digaj wenchalah nal3bou 7ata bla moudareb,2
raghma dhalika laa yajibou an tasta9iila li2annahou insi7abon wal insi7abou fii hadha alwa9ti laysa fii masla7atil bilaad,0
oui ta raison el cha3eb el bassit houwa eli mechi fi el hewya w rabi yoster tunis,2
casoni 5alana fi hors jeu w mcha l om qeul domage,2
gu3adt ken mta3 aflem tmout ken 3al buuz w aflamek fe9et beha la3bed enta men tajrebtek f ca 3orfatek la3bed w belahi ma3adch te7ko b lsen zawali,2
hh lool,0
bravo sloumma,1
famma mwabna 3amlou dislike,2
quel égoïsme kifek kif ben jaafar,2
inchallah idik mabrouk,1
j aime wléd jam3itii,1
chwaya sabr ya jomhour lefriki sbartou15 ans ma tosbrouch ayemet si slim kaed yekhdem ala rouhou saybouh,1
nchallah l msg youssel l barcha 3bed dima yal9aw les excuses lil bulliers w rabbi ye7mi ness kol,1
e5dem w rabbi w jomhour el8alia el7a9i9i m3ak w na7na kif e7tajjina 3la atrous n7ebbou ra2is 5addem w nchallh chart hetha metwafer fi ch5sek,1
ama karik ma5anithach fi 3and il3ibdili,2
top sexy woow,1
la7keya mouch sle7 ye5i houma ydherbou 3ala km illi ne9isna hia lirada mathamech irada lichath lirheb wal irhebiyiyen min jodourihem ye5i alef amen wjayech 7arou ,2
woow malla,1
kol 3am wa ommet seidna moh7amed bi 5ir,1
hahahaha chkounek enty bch dawla thotlek des sécurité t3ess alik,2
mehi eta7ana yeeser,2
tawa fe9et y a ta7an ca raja3etha 3a9lya libya,2
né9sa bléd w zid nikelha omha,2
ana la ossadek hezeb annida liannou hezeb ettejammouiin hammou el ouadi erjaa el mandhouma el kadima fi el manasseb el hemma alma echaab ma amloulou chey deux ans taoua mafamma oualou ouin mechiin callek houkoumet ouahda ouatania ech ameltou fi deux ans hasbouna alech kdhetom alina ken hemkom em korsi bes hada houa ennida emseh met ken naatih souti o virgule,2
kolha faléma b1 dit m3alem,0
féytinkom b snin wenti ya meskin 7awil tousélli,2
c b1 m3allm,1
bravo y m3alm,1
mafamech 7keya mta3 sa7a chribetkoum,2
bravo rabi y3inek fi meho fih el khir ltounes,1
rabi maak wel kolna maak rana feddina,1
wejhou wejh solta il msattik hetha mnadhir mnayka,2
gneya atheh metafeha wmelgadi,2
a7la boy bech yeji la7la 9aleb youyou,1
sa5fni joel,2
lazim maikif koui mina chnoi yhibo ytayhona oila chnia slim riahi lazim elmatche mayt3aoidche,2
nikilhom omhom w ne7na m3ak kamsh mwaben ma3indhom maya3mlou,2
wa7dek ye slim ou a3ref elli ourak cha3eb kemel cha3eb le club africain akther min million tounssi jib les recrutment ou me yhemekchi a7na m3akk wissem ya7ya jmal 7aded kamel hethom ou twali 3ana le grand ca,1
sallimli 3la riyadh bannour ou samma3ni salem tzzt,0
s3ib twelli k samara ou armasta,2
 4 disslike,2
si slim na7nou ma3ak 9alban w 9aliban,1
se3a ena makamltech 9riit 5ater beyna el statut fechla min awal kif 9olet kil 3ada tounes tjewzet fatarat sa3ba le w kil 3ada zeda bara a3mil doura w chouf el twensa kifech 3aychin w ba3d 7el fomk w tklm,2
etkasser eswaba3 yedik ya 3adim el massouliya,2
rak el capo ya m3alem,1
brabbi lebes casquette wlunette mechi lel bhar,2
tmannit nkoun fel plateau beh nodrebha b zouz kfouf 9ellet tarbya,2
zidna menhom,1
hedha lkol jorret la7zeb elkleb khalou lebled hakka barra la trabba7kom lkolkom 3le b3adhkom ya kleb mafihomch y7eb tounes 7assbi allah wa ne3ma alwakil,2
ta3mlou mzeya habtoulna l émission 3a page merci,1
oui c vrai ya m3alem,1
ichalah elnes elkol tkoun farhana fi tunis elhabiba,1
yna3n talaw 3lik ya aza,2
el a3sba fi sourmoumkom bh faemch boutola fi soussa,2
b9it nstana fih barsha el vd,1
bon courage mon fr,1
maya ligsouri ya3tik 3asba 3la sourmik ya 9a7ba ow karim li tsibi fih hak achrif minik ya 9a7ba,2
wajiha toop du toop hh ,1
slim y a rya7i,0
slim yryhi 3sba lltwal wtaraji,2
3ejbetni elfaza,1
bahi s7i7 aw ma3goul ama kif emsa5fek ettounsi wenta 3atik rabbi min 5irou ti a3mellhom 7aja mathalen 7il marchi el bi3 fih blach rebe7,1
faraghtelna gloubna yarhem weldik,1
ama énti ya bou lunette 9adékch mounéfa9 tawa aka bou la7ya méskin fisa3 5rajt fi 5itab w tfalém 3lina lézmou yét7akém psk danés él 3alam w en fin d compte tla3 5atih béléhi 9oli wél 7ayawén éli sawér taswira héthi haw mouch danés él 3alam bark ti marméd wéldin omou f trab athréb 3andék ahawka 3mal mélange tayara salib néjmét isreil aya warina chnowa béch ta3mélou,2
niice so excited ya bro,1
barsha ma3ani et ds msgs indirect nbn ali labess jebba w ijiouh yokhtbou nil y a rien d par hasard nen plus yaser 8asha,1
qui a commencé la seconde guerre mondiale,0
dekhel bech namel dislike,2
brabbi fama banouta 7alet ha 5tira w 7yét ha met3al9a fi 350d,1
tikthib makch 9a3da titsab tholm yilzim timchi lita79i9 nwinti zid ta7in mak z3ayim fil 9wada,2
rabi yechfik 3lolo,1
mnayka ki zibbi mta3 free ret,2
bellehi ouine elhekma mot ben ou i,1
5alli machakelna w 5laftna 3la jnab ghodwa yed wa7da w l7awi maykawerech f rades,2
bravo 5alihom ynaabrouu kima y7ebou te5thouch 3lehom ma9houriin mara eyy 3tina rachwa l o k w ken moch 3ajbeek barra echkii,1
kelma aadiya,1
les paroles de ms nejih a5le9i lih9i9a 3jibni ww hh widahik et md très dangereux avec les grimaces hugh hh 9ole 9ole hh,2
sahby ml castro lel klay yezeebi,1
bien dit si slim riahi,1
afef klem shih et prouvé video maitre abbou,1
ta7chelek ye kabech hh,2
allahomma nasaalouka el afow wal afiya,1
allah yarhamo,1
rabi emaak elli serkous dem etwensa saybouhoms ou radouhoms endhaf welli ghadhou elhel elli wella fih etwensa radouh serek rabi inawer hekek wehna ou rabi m en fouk wehna m ellouta emaak,1
wa7dik ya m3alim,1
3andi man9olek barnamej wa9i3i la kdheb 3la le3bad w la jab 7aja men 3andou enfin 3ala chabi mamchalhomch ledyarhom w jabhom houma jaw wa7adhom ti bel3aks 5ali le3bad tchouf a5ta ennas bech mana93ouch fi nafs el a5ta w ala n9olek enti rak nejma 3alya fi sma w rahom ghayrin menek rod balek 3la rou7ek w rabi m3ak,1
ey behi 3rafna li 3idmiledek lyoum mais ltaw la 3rafnek farkh shkoun,2
brabi ech tetsama lkelma hethi m3a leklem ili 9oulou fih fi majless nouweb,1
rabi ya7fdk,1
dislike qbal ma netfarej,2
rabbi yonserek alihom inchallah,1
sah lik si slim,1
enti rayiis char3i lil lifriki ha lmourtazga ma ymthlounech amana fi ragbtk lifriki,1
nchalh yetraba fi 3ezek,1
rabi m3ak tounis amanaa,1
vivee cprr,1
chbeba broo,1
bras ommek laaziza alik ajbatek errouh elli laabou beha baadh ejjouaret kbel konna nerbhou elmatchouet ouenhezzou ettitrouet bel glaieb ouaktelli maendnech flous outaoua ouaktelli ouallina aghna jameia fi tounes maadech ennejmou naamlou victoir choufenna hal,1
 3ana a7sin jouwerette fi tounis ne9sine ken attaquant behi,1
raghma dife3ina 3la rasoul allah mohammed salla allahou 3layhi wasallam illa ana achbeh almoslimin yarawna annaha irheb mela ab9ou la7sou lil amerique winchallah tit7achrou m3ahom,2
bara nayek ta5letlou enti 5alil chamem,2
aa3 ya slouma,1
3idek mabrouk enti haya eb 5iir,1
5ir ni tsaker el barnamej fthaya7 tournés mahich naksa fthaya7 kayenou ma3moul bethema bach ichawah soum3et bnat tournés ou si 3ala i9oul 6o me twansa haka n9ouloulou irak 8alet bnat tounen s7i7 metat7in ama mouch fel fsad s7i7 fama 7alat nadra kima fi kol blad ama mouch bêta darja rana fe9na yasi 3ala eli elbarnamej ma3moul l8ayaten fi nafs yor9oub wa7na 9arina bnatna ou tha9afnahom ou rabinahom a7san tarbia bach yeb3dou 3ala hal moumarsat 5sara walitou etajrou be 3arth la3bad,2
raja3 djaboo,0
entouma tlawjou ca ou nesin bledkom fi9ou chweya ena zeda enta5abet slim mais rani mkache5 fe dam ama n5amem fi mosta9bel weldi mouch fe ca,2
shakira tounsiabababaa,1
bonne anniversaire slouma,1
nchala rabi yba9i 3lik seter keep up broo,1
fil janna inchaalah,1
achnowa hada,2
allah lar7em 9otlou ana bara cha3el frou7ik nar 7lowa hadhi cha3el nar wba3din yabda sassi,2
bravoo ya salouma,1
brabi sayab 3lik mel koura jema3et le club africain yetmanikou 3lik w inti déja met7ebech l club,2
armasta en mode 3mara,1
ech famma tahhan,2
woow sis,1
hh hh zantouur,2
ta7ya lefra9ai,1
kol 3am w inti 7ay bi 5iir slouma,1
barbi na7kiw 3ala tawra achnouwa jabet jabitlina il ham wi fa9im wil four siwa la irwa7na wala 3ala tounis wala 3ala awladna wala allah la traba7 il bou 3zizi ou la tar7amlou a3dam,2
montage zeblaa t3wed fl ma9ate3,2
hh ya znatir zantour wtab9a toul 3omrek ma7kour barou nik mya min omkom il 9a7ba,2
wini résultat ya yoser mel bera7 nestana,2
tasr9ou f a l a za3ma kbir,2
elki g samara,0
inch allah,1
la 7awla wala 9ouwata illa billeh,2
oui hehii 5iir bbarchaa,1
tekdeb ritek ki chamitte 3lihh tfoll meskinne,2
brabi e lyrics,1
mehomsh ferd 9ofa si sami safi w s3aid as7ab feker w fehm w lo5rine byed9 metarfa,2
très original,1
hh aklia,1
flastine akber men ra4ma mta3ek wint w jmhour lefri9i izouz tnef9ou fi b3athkom kan techrich taira,2
3lach moch oilid jam3ia modarab mosa3id 3morna marina clubiste chad letoil ouinhom oilad jam3ia,1
wallahi ya3tik essa7a avec tous ce que tu vis tu as du temps à vivre avec ton enfant rabbi yba9i 3likom essotr,1
un bordel allah yesta3 hmd je ss algérienne,2
ana tkarezt wana nestana,2
rabi yet9abel nchallah,1
matafinach ya si lmarzougi,2
slouma ya m3allem ya a9wa president felafriq,1
tlawjou 3la khleha,1
hoss em pato mat7esshech mrakba barcha el video wel klem mch rekeb 3ala ta7riket fomha,0
dsl slouma lazémna no5rjou 2m1 ndéf3ou 3la jam3yétna w 3lik a zébi 7okouma 3morha ans ét7éb tyé7 dawla esémha club afraicain 3morha ans twa nbarédlouhaa 2m1 w 5aliha thawra jdida,2
counchi yd8ole linti8abete wa7dou hh,1
a9seer ghonneya nasma3ha,2
tounsi yechfini w yechfik,1
bich tjib tfol w tsamih bayrem,1
nal9aw kol épisode tahbet f youtube ou non,0
lelli ya3ref slim errab3awi ma3adech tab5souh 5ater kif ma ta3rfouh rasou kber ken melba5eshahahaha,2
i love your vedio so much,1
tounis 7alha ybakki,2
tahia lik y a klay m en sfax,1
bien dit baraka allahou fik,1
kol 3am wenti ebkir,1
kbal matkoul li armasta ktebha hassyt,1
t bled de5la fi 7it yelzemha mo3jza wela we7ed extra terrestse ech men enti5abet tadhiy3 wa9t 3andi ena allah yehlek awled la7ram wakahou,2
c du lourd bravo jenjoun,1
7ala 9a7ba allah yoster 3lik y a tounes esoure9 elkol yestanou fik,2
snine dayma nchalah ayamek lkolha a3yed w afra7,1
bravo j ai adorée,1
haw hab rawah namal chwaya machari3 jib omok wo5tek y 3alouch,2
nikom omek el 9ahba yal kouki,2
sublime kil 3ada,1
machlh ma7lek,1
rabi mahk w rabi mah leak,1
slim riyahi cha3eb ca kolou m3ak,1
rabi im3ak president,1
bravo mhallim,1
hasard l élève ollek kelbe bene kelbe,2
y haja waw y okhty,1
allah yar7 mo,1
ti tek4eb fi l3omra i7ajmo ili fi l3omra homa hh mara cha3rek twil we mara cha3rek m7ajem b hh,2
ikbsou rwa7kom,2
fort fort fort,1
lifriki me te9ef 3la had,1
bravo slim riahi hada sport elli nhebou wenti bejest hadi 7abouk barcha nas elli theb el koura fi tounes el kol,1
rcd ekleouna,2
rod belek tabe3 mouja wnetekou fik,2
ansorna ya rabi el3alamin viva c a,1
mala la3eb,2
5aliha 3andak w yazik min taminyak ala cha3b tounsi w bi7awlh allak makich taji ra2is tunis,2
kol 3am wenti 7ey b5ire wkol 3am wenti president,1
rabbi ihannikom,1
rabi ybaraklo fi razko nchalah rajal ou nos ana algérienne ou 3aycha en france lah ybarak fi had rajal,1
slouma klamek kbir am zeda lazem kabsa behya 3mlo erri7a rahom ma fmech rou7 jimla w rakay degage 3lina,2
5ayfa mn lmot bara sali wodhker rabi,2
t7ebna nsad9ou ya3ni,2
alah la tra7mahom,2
rabbi iwaffek l equipe ench allah el benzarti howa el hal,1
mahlek machalah,1
chics et classe,1
semi 3omrou mayjewebhom bkelma 9atelhom besket sel 5edma fehri1 rabbi y3inek,1
souk 3lelich,2
rabi yfadhelhomlek ya m3alem,1
fi 9alek ma9rinech wathi9a bil behii man7ebch tmanikk eni dègagee to78tou men 3ini,2
bellahi barra etelha fi machariek ezzaifa haw 9ob7 fin psyco,2
trist allah yar7mou w ysabber 3ayeltou,2
bravoo ya ahmed en plus a part koura rajel amal des projets fi bladana tardouh atina zawés kifou fi touns taw tchouf rabi maak ya vive la tunisie et aussi c a,1
